onset,duration,condition
0.0,8.0,
8.0,3.0,cue
11.0,12.0,lh
23.0,3.0,cue
26.0,12.0,rf
38.0,15.0,fixation
53.0,3.0,cue
56.0,12.0,t
68.0,3.0,cue
71.0,12.0,lf
83.0,3.0,cue
86.0,12.0,rh
98.0,15.0,fixation
113.0,3.0,cue
116.0,12.0,lh
128.0,3.0,cue
131.0,12.0,t
143.0,3.0,cue
146.0,12.0,rf
158.0,4.0,cue
162.0,12.0,rh
174.0,3.0,cue
177.0,12.0,lf
189.0,15.5,fixation
